,heads,tails
209,920321,2969
210,63276,46080
211,1627487,1665300
212,1501112,1561679
213,1622194,1681302
214,1532619,1573334
215,1538217,3499
216,1022079,872589
217,1385662,33533
218,908311,1670538
219,1107421,1460329
220,1528749,1213660
221,1361538,1059142
222,1575051,5272
223,1484504,1647705
224,850033,1612720
225,1571759,770460
226,1485469,1404079
227,1546640,1487718
228,1028954,1027099
229,1569455,1333822
230,1450390,1289340
231,1159275,1297989
232,1000753,1165002
233,1073362,702325
234,913165,1051741
235,1309132,1666138
236,1304994,703559
237,1578318,2034
238,862831,1514242
239,1580485,1490660
240,39020,1511161
241,1500435,7084
242,811596,1619174
243,918543,1630513
244,315852,1630477
245,864839,887151
246,1575051,1581776
247,716605,1416172
248,1403161,1637761
249,1593548,92487
250,1473579,1626878
251,1514994,816956
252,1375063,1535365
253,890926,1607749
254,1493212,1643660
255,1053532,1108205
256,1077638,1647980
257,97517,849547
258,834105,1097882
259,808450,1527102
260,1518403,98222
261,1419951,915840
262,1513403,1412486
263,1023860,889570
264,1655153,1561551
265,1541538,1120970
266,1568139,1550518
267,1190370,776867
268,910073,1070517
269,14707,817135
270,1640770,1058299
271,895126,1622676
272,1579823,1405041
273,1525769,1585002
274,941548,1383394
275,203077,913443
276,798354,1063167
277,1001902,1086303
278,9892,868368
279,1100778,1301501
280,882154,1570279
281,1584492,855931
282,355019,1412232
283,1351901,1108348
284,1672712,1019787
285,1575190,1672609
286,718937,933738
287,1435508,1634172
288,1141688,1074828
289,1472468,1035267
290,702325,885694
291,1022079,830158
292,1307954,899749
293,811596,1632323
294,842013,1586105
295,884940,1604054
296,944763,64578
297,738214,924717
298,1356949,1383154
299,1117106,1196298
300,884713,1179929
301,1410384,1619406
302,1563756,712771
303,1365160,796764
304,1104358,908937
305,1491419,25475
306,1005286,1114483
307,1654785,1603145
308,1321741,1571776
309,910406,860748
310,1652982,1040426
311,1067983,1616862
312,1621379,1614404
313,7084,1424812
314,1610457,1585389
315,1354591,850209
316,1318268,1561743
317,93751,1389122
318,1325878,1114208
319,858800,1132105
320,822997,700565
321,867840,796124
322,1285701,10329
323,1037540,352998
324,1526689,1509190
325,883945,1536089
326,948426,73756
327,48287,1250897
328,1005286,1613665
329,1605257,886835
330,1021860,1592058
331,12927,1551182
332,1123494,104169
333,1174891,874214
334,32621,872855
335,1494538,1430319
336,1315061,79958
337,1521013,90896
338,934543,1058623
339,1358762,1433994
340,714284,1584693
341,1500213,1630430
342,890821,1665300
343,1615219,854775
344,1372299,705432
345,1042074,353569
346,1066764,42682
347,1434868,1122063
348,26076,31660
349,1672712,1261694
350,1284450,1335105
351,934549,1181749
352,1070423,1481506
353,1090061,1263364
354,1047122,909954
355,924901,893577
356,1458023,1469207
357,1629995,863894
358,1619406,67279
359,54476,1110607
360,1604930,1390134
361,9984,716643
362,88572,884219
363,1395585,1410384
364,1137091,1450973
365,1126003,1368148
366,1380412,928658
367,895447,1424454
368,1585064,1304280
369,1626878,1590895
370,1471824,1454510
371,826326,811831
372,1409171,874761
373,1497251,1273801
374,922224,1498547
375,836809,81955
376,1637417,1056943
377,205402,1546609
378,836147,1386926
379,357020,886035
380,1397516,1421204
381,764401,319654
382,76334,1493976
383,1318742,1546296
384,32604,23071
385,109177,912767
386,1533427,1551986
387,1652031,1533037
388,1178970,1308208
389,93410,81318
390,1537561,1420811
391,1571116,19446
392,1009976,29989
393,850209,1377630
394,1052054,896493
395,933972,1332551
396,1575975,1587987
397,1022652,786110
398,1670869,1374690
399,1021096,945828
400,1649989,1109116
401,1377789,1311596
402,1537667,1567503
403,21535,1378950
404,756502,1091530
405,91576,1337553
406,84839,1437479
407,870385,1337553
408,14930,1620305
409,1453883,1449792
410,1341319,928421
411,1173431,820027
412,4127,310568
413,866970,932696
414,4447,764579
415,789019,866729
416,730349,1626971
417,865752,1581990
418,887936,835887
419,891293,1599033
420,1039684,909281
421,1410939,1562738
422,12978,929428
423,1611110,57515
424,1512499,355379
425,1062047,1416792
426,1465470,883945
427,1609132,1120970
428,797564,1567980
429,1605131,1319947
430,889348,812796
431,1625042,109198
432,854222,1305409
433,1582568,1606254
434,1085706,834285
435,1671520,1443388
436,1609258,1655075
437,1280600,878932
438,1562214,1553758
439,1565228,1095996
440,1481792,1585064
441,1056923,83350
442,1580808,66004
443,1018399,1594337
444,1610618,1383055
445,1474167,1178727
446,1393311,1074458
447,1445541,1466815
448,864559,38264
449,1382231,315213
450,1566544,25445
451,948846,948845
452,1168990,913142
453,1668589,1368757
454,1108967,881890
455,1568079,892553
456,1425203,917491
457,61004,1324772
458,1491576,1089598
459,1668340,1595710
460,1103090,1629205
461,1104506,1582568
462,882095,1646736
463,1084067,1583107
464,1672888,1289419
465,1327978,1416183
466,1406666,105770
467,95574,1485074
468,1451448,1557644
469,842162,1670538
470,1141391,1643202
471,1065332,846377
472,1544400,1653384
473,1652871,1476170
474,1388319,715072
475,95574,872448
476,37996,96223
477,875159,38984
478,1509432,703351
479,1499790,884614
480,1373853,1570132
481,1413547,1020859
482,1657197,928576
483,1361248,864683
484,1409432,1651577
485,1378774,1565700
486,892553,846475
487,1522327,764065
488,878932,1350421
489,1287808,802481
490,1498067,1047127
491,1096376,1227090
492,897723,1436126
493,1609472,791963
494,1622175,721693
495,1595097,874710
496,1602143,1592480
497,1111711,1555492
498,1165639,1038509
499,1651992,1502377
500,921825,1593548
501,73887,1541451
502,1345122,1083922
503,1583671,1524769
504,837852,1582244
505,1446847,1140310
506,1426506,1079282
507,1566826,1455741
508,1685311,1175609
509,818686,1557421
510,1360604,1371285
511,1539638,1370450
512,855654,203596
513,1393726,1634447
514,727346,1614806
515,1431372,917491
516,1354174,31667
517,1585583,1347613
518,58492,1349929
519,874716,1318008
520,1550377,860413
521,884887,26058
522,708781,1448705
523,1113809,82166
524,1000955,1367832
525,1078271,1346022
526,20520,1649184
527,1507181,886136
528,84839,1606698
529,1385662,857005
530,1049521,87565
531,931948,1524025
532,1638933,1543605
533,319458,14177
534,1355790,1434621
535,855658,1537028
536,1471727,1649881
537,1171838,1495491
538,1010552,106532
539,1599117,924719
540,934543,1047127
541,1613489,812074
542,1265131,1060822
543,1328581,1395585
544,879407,1039757
545,818033,78460
546,773141,824416
547,9984,1171155
548,883241,1027362
549,70793,1554933
550,1013880,1541538
551,1289496,1655780
552,1542335,949870
553,1409493,814549
554,98677,1610486
555,1375348,794619
556,1576724,319016
557,916076,103973
558,930236,1449488
559,1656239,1305168
560,798081,1560194
561,1081568,1169055
562,1284807,796534
563,1412126,1038205
564,1605607,1092662
565,38074,1484478
566,1604814,1642862
567,1667154,1468679
568,945394,846913
569,1504239,837919
570,1546589,1124804
571,1460702,764065
572,1326428,1585790
573,1283810,50863
574,1497188,1592143
575,1354591,792966
576,733269,1060386
577,1104506,1103601
578,1392545,1574300
579,1498547,107263
580,722313,1130758
581,1052100,1377149
582,813762,1311735
583,1232524,1130713
584,1069530,1045742
585,1501350,1295401
586,1304161,1540334
587,793733,1144331
588,1040765,23111
589,2135,1020999
590,1640775,1592291
591,1517389,1616666
592,936446,1139614
593,1021162,1598893
594,1409175,65312
595,1124198,1492632
596,910073,920945
597,1524872,1567980
598,1556226,1413891
599,47217,1173752
600,1006045,1585149
601,1144354,723188
602,1011659,1448056
603,1209709,1562039
604,9631,705432
605,103595,887247
606,1076522,70502
607,1567958,1362703
608,1448597,1557711
609,1172139,1547546
610,1156815,1173281
611,25598,1505892
612,1369628,1510963
613,1589632,1385544
614,16058,1130166
615,1351345,1347613
616,1548266,798371
617,1270436,918580
618,1273685,1599222
619,1630805,803016
620,1113169,859070
621,1555082,1108236
622,1084384,1395848
623,1005817,775662
624,1625095,797564
625,1592329,1076930
626,719135,36966
627,1227265,890564
628,921768,1419583
629,1095996,310354
630,17843,933141
631,1577190,1001606
632,1576197,1506307
633,1539708,1432271
634,1328581,1104506
635,749038,1214816
636,1580095,1553830
637,1550221,1419852
638,47111,1471270
639,1312910,1558441
640,1374535,1596946
641,1596958,1476765
642,1622577,1080340
643,1557142,1034594
644,727207,1579010
645,867773,1273813
646,1579306,1066658
647,1200375,1166928
648,1535635,1174821
649,1040270,1087423
650,1580836,822411
651,766792,1382911
652,1374881,1574300
653,1562476,1620533
654,1527102,1632312
655,1498547,1559754
656,913144,79958
657,1327688,1282977
658,1641398,1346022
659,878927,98222
660,927003,1164964
661,1622057,1305773
662,1378774,1617351
663,1478242,1125699
664,912833,1499832
665,1553788,1501720
666,1316625,802301
667,1575574,1674910
668,736772,40987
669,1080319,1174821
670,1469038,884731
671,1615169,1100542
672,1455684,1603671
673,1379075,1675171
674,1477336,1324272
675,1372807,352541
676,936395,1133062
677,28823,820380
678,794172,48287
679,55785,857728
680,1571498,1487718
681,101984,1164863
682,1350421,1326801
683,1271214,1131903
684,913610,807873
685,1399542,1636519
686,56047,1047862
687,1483496,1394108
688,1643542,1666487
689,1327688,1495899
690,883241,1121980
691,922869,1557798
692,88000,1370030
693,1286225,1175416
694,1468910,883107
695,1504239,1043509
696,1324245,883241
697,1230245,1087934
698,1352190,1419582
699,1537663,1501134
700,25895,48898
701,1001115,1304409
702,879555,1514991
703,1434729,1493611
704,1550913,922487
705,1070336,1575048
706,1499785,1618563
707,1056087,205520
708,1545078,46207
709,1288403,1602190
710,1579298,896156
711,1586468,1353613
712,1637287,1069530
713,1566443,1619870
714,903129,1363343
715,1477294,1497275
716,1627452,1601385
717,828944,707549
718,1363829,1605481
719,1514732,29915
720,1067983,200245
721,1575360,836690
722,911177,1009759
723,23082,701221
724,796343,1381240
725,701347,724606
726,1035443,1330399
727,18396,700841
728,1435224,1509892
729,700923,1473287
730,1655514,1634408
731,1059262,1656742
732,933036,1126115
733,1547530,1347858
734,1383062,103096
735,1542299,1501364
736,1076541,1357971
737,1637761,311817
738,701288,1392449
739,1574540,1001316
740,934445,1613103
741,1389772,14707
742,1424404,105132
743,1571919,1156815
744,896156,1389050
745,1610618,1589224
746,1369786,1671077
747,1424151,1169445
748,1663133,1057060
749,1262976,1580905
750,912562,1378140
751,1227265,1172136
752,891532,1387637
753,1175535,29644
754,1506374,1047881
755,775368,727207
756,878526,1105184
757,1309141,1655591
758,1328571,1322439
759,1529377,89089
760,1172706,1669162
761,1627213,1121484
762,1413329,1667161
763,100625,1328989
764,1679420,1013606
765,1635840,1345126
766,86312,1574774
767,1499268,1518461
768,1070081,1677761
769,1657853,1563227
770,1657853,1552327
771,1687187,1377789
772,36840,1372167
773,1106838,784199
774,1383055,790179
775,940942,1642122
776,1592143,1499790
777,1613766,22767
778,354869,1520048
779,828944,763901
780,1438095,1557356
781,1368514,1638933
782,1519751,49600
783,876883,1379006
784,1687031,722572
785,1038357,1621430
786,1098880,1501268
787,1580013,77476
788,805264,1560141
789,1526689,1070336
790,1223786,1375365
791,1534155,1008579
792,856982,1557939
793,1290677,94049
794,1006830,1658304
795,1110783,1159408
796,1504167,1084370
797,86521,1196707
798,1056239,1410939
799,1604042,1353748
800,1588972,1517681
801,1375195,887151
802,1423586,1532750
803,916076,97472
804,1495932,1520744
805,1504008,1567980
806,1042893,1377936
807,1057051,1655971
808,110471,1553000
809,775368,1630430
810,911216,1516479
811,821483,724445
812,1587234,1410187
813,1164256,22444
814,700863,740942
815,1577134,922359
816,1503579,1084717
817,825313,1422142
818,24741,1075706
819,1001171,1583077
820,1174821,1491419
821,1420783,1581990
822,1253986,1657249
823,925178,905895
824,771497,844059
825,1488613,1041657
826,870385,1562476
827,1320760,1466815
828,1359841,714284
829,1237746,1016708
830,1541719,1536394
831,1110482,1253347
832,1556965,1683300
833,1497275,1655153
834,1601617,874866
835,1497504,1041368
836,1539551,1479247
837,1610834,78311
838,30697,46765
839,1082038,904163
840,1347078,40888
841,1609989,1564053
842,318380,866368
843,7431,943452
844,812306,858655
845,1501078,1383183
846,883975,1343034
847,842023,1041061
848,83350,1040426
849,1341878,1070154
850,75439,883241
851,1479247,790070
852,1342936,1134982
853,356171,1600890
854,727538,355573
855,858877,1659207
856,1027207,723254
857,1682868,1352081
858,1018871,895810
859,1369628,834285
860,1169749,1392091
861,66740,882796
862,777917,1607250
863,1580264,1442741
864,1226616,1009672
865,1592706,1395864
866,1080319,1353406
867,1651561,1378706
868,1569329,1588014
869,1575311,1557711
870,1583771,1671854
871,1257640,1487428
872,1495231,1527541
873,829114,1105705
874,872912,1666962
875,1632814,1628104
876,1060391,714712
877,77877,1375348
878,1033905,1105184
879,16058,945384
880,1485029,1668428
881,1084597,1501489
882,1305253,1446371
883,1138723,1546381
884,1518985,1144980
885,917225,1566544
886,1084717,1089872
887,62234,1513818
888,832488,1442741
889,1677390,1553993
890,1626115,871344
891,31462,929299
892,1357361,1086909
893,1655780,1597929
894,109380,1027258
895,1084755,949968
896,1535955,1487906
897,1366367,1571237
898,1689265,925528
899,1527355,1678463
900,1285224,1267332
901,1620070,1641623
902,1413547,1321771
903,318299,1177702
904,1455684,1420800
905,1488613,60667
906,1086303,1656053
907,1046102,827809
908,1490161,1621364
909,1280600,1168325
910,933136,1156041
911,1353612,18396
912,1383394,1222218
913,1416090,1168663
914,1564968,1496443
915,900349,1044324
916,1010775,1013871
917,862831,1284812
918,706688,719955
919,313364,715446
920,1420525,1490660
921,354869,1682130
922,1172631,1013238
923,1565337,1643202
924,861838,895417
925,1639691,1451433
926,925645,1490028
927,1436425,1625285
928,1338242,315189
929,1103982,1274032
930,1033012,1301712
931,1476045,1665081
932,1420108,1308569
933,1015780,812701
934,1075857,1445918
935,829224,1355839
936,1099941,878932
937,849213,892832
938,95552,1574540
939,818479,1471270
940,728535,806279
941,1045546,1481028
942,1500122,740664
943,1158420,1019361
944,1013606,1432732
945,1098996,1125345
946,1093691,1284196
947,887343,1216752
948,1129155,1371424
949,1335982,1034592
950,1618835,719739
951,1402747,884614
952,357301,1075046
953,850209,18498
954,1632933,722723
955,1571123,731802
956,702325,1290677
957,1100682,91928
958,1423542,105608
959,1385818,1119643
960,1603669,1530746
961,1294476,803649
962,1009575,1326583
963,1127160,1434070
964,1606757,1655349
965,1678740,1582081
966,1180262,1297341
967,1038277,1644867
968,1244937,1371781
969,1506814,1070336
970,1657642,886328
971,901491,1144519
972,798354,1022079
973,885306,1470099
974,1546609,1459287
975,700733,1104901
976,1162461,1453593
977,105608,907045
978,1425287,1649184
979,1163739,1113169
980,1094814,1366340
981,878079,718937
982,835729,1078295
983,1400482,714562
984,1439724,1062822
985,1350421,799850
986,1593204,847942
987,1601712,1400482
988,1275187,1584693
989,1603480,1029581
990,1031093,1580264
991,948545,34497
992,914748,1592288
993,1578348,1550460
994,1585023,834071
995,1428336,1597811
996,733590,949961
997,1517228,805264
998,1084765,1586468
999,62741,29332
1000,1487252,897315
1001,1001614,1598646
1002,1177135,1380509
1003,1685022,1490660
1004,1136711,66649
1005,714310,1415277
1006,1607865,1618697
1007,1355786,1551906
1008,892222,791963
1009,1424549,1613895
1010,940942,1507385
1011,90896,1509589
1012,860731,1672985
1013,1001082,1666962
1014,850141,1507957
1015,827871,1446152
1016,798287,1634423
1017,1616262,1674786
1018,42682,847942
1019,874766,1521332
1020,1617896,67625
1021,1512927,1004702
1022,1514994,1171662
1023,825324,922869
1024,1605301,723125
1025,1389123,1644509
1026,1584509,1499832
1027,1589150,1671013
1028,1062273,1574291
1029,1166338,845698
1030,1307954,20290
1031,1503985,110471
1032,320431,1600750
1033,885590,836429
1034,1053532,1399488
1035,101830,1285551
1036,78311,40545
1037,1478242,1375685
1038,1591913,1016178
1039,31462,813640
1040,1571504,1594219
1041,1554054,1603345
1042,106040,819480
1043,1497645,1286181
1044,1606366,736012
1045,1104358,1168081
1046,1574291,1173489
1047,857855,706874
1048,1602065,1171759
1049,1446847,67215
1050,1133421,1600571
1051,1469510,93751
1052,878088,1161924
1053,1549719,1643660
1054,1360604,1487428
1055,75644,842295
1056,1503658,8177
1057,1042134,1089907
1058,51011,1179484
1059,949852,1603969
1060,1649709,1166388
1061,1620749,814549
1062,1367644,1298521
1063,103730,1022408
1064,1570937,1238289
1065,830616,1429386
1066,1123270,1378774
1067,1001171,1091862
1068,1024795,82811
1069,1421907,1172358
1070,1614924,1658982
1071,1353283,1142790
1072,1023364,1575599
1073,74208,1651286
1074,1538263,922358
1075,929452,1571776
1076,1124198,1054274
1077,1078207,712770
1078,1581776,1076930
1079,1588251,879682
1080,98246,1470550
1081,886163,1273013
1082,7286,1493566
1083,1493225,1552111
1084,7084,52827
1085,1056923,1651588
1086,276077,1099215
1087,1105705,1075415
1088,1109116,1131554
1089,740260,1386570
1090,1378706,1595552
1091,1282977,8818
1092,1059562,1571498
1093,1556727,1128383
1094,1309057,1035267
1095,729580,850429
1096,1083743,1494904
1097,1357371,1502012
1098,64040,842314
1099,1090009,1574097
1100,1596958,1629069
1101,846617,1136174
1102,1419806,1520048
1103,1528760,1574291
1104,867665,1507615
1105,58361,319654
1106,1398702,1168220
1107,825313,105608
1108,1467858,723533
1109,772897,1562914
1110,865436,1455684
1111,1559172,1326190
1112,1528098,891014
1113,1641601,1158895
1114,1656681,1530249
1115,43920,861361
1116,1348259,827054
1117,1405660,11544
1118,1689265,887905
1119,1598323,1429260
1120,940944,1508786
1121,875159,1634413
1122,879407,886982
1123,947484,1321228
1124,2969,1343009
1125,320193,1133818
1126,1062438,882104
1127,1478087,1382574
1128,3453,826675
1129,1084597,1123316
1130,1467858,1564347
1131,1606808,1108205
1132,1651932,1554730
1133,857501,1383154
1134,883569,1260125
1135,1408534,1054905
1136,902274,74585
1137,1612126,1453687
1138,1363573,944809
1139,713425,1058299
1140,885639,1367311
1141,1468910,1544227
1142,1363958,1447669
1143,1017156,1019376
1144,1634408,20740
1145,1067873,1418133
1146,1440799,1404079
1147,1407200,1178377
1148,1527541,1543083
1149,350644,1515114
1150,895456,1637459
1151,81027,1582313
1152,1522215,1502034
1153,1499357,1158419
1154,1580673,894245
1155,316709,1071620
1156,1280263,1272754
1157,1139552,889900
1158,890491,940510
1159,47217,894743
1160,1177648,1411494
1161,1585492,1546680
1162,1362925,1561743
1163,1427925,1119897
1164,874841,1587476
1165,1494538,874710
1166,1551906,1589224
1167,1689417,811212
1168,920522,1585492
1169,1557424,1500198
1170,1273988,1279363
1171,803649,865439
1172,1298675,1672900
1173,1550020,39911
1174,878079,883980
1175,1409375,103730
1176,1605435,711665
1177,1400891,1035201
1178,1561092,99250
1179,1124105,1620533
1180,1510891,1682220
1181,1502152,278165
1182,1582081,921864
1183,1567980,867773
1184,20520,310433
1185,1543623,1489874
1186,1452176,354950
1187,1037976,1421182
1188,1572565,89089
1189,1590211,1621130
1190,1445305,1566897
1191,775158,216275
1192,819220,1643848
1193,1346022,1621434
1194,704165,1493526
1195,1571636,1390134
1196,740260,780053
1197,1395942,920371
1198,1622996,1020214
1199,1130598,66496
1200,1571238,1631406
1201,879215,1379895
1202,1507277,1551390
1203,1221554,882800
1204,1660839,874499
1205,1585854,1493040
1206,1326583,791915
1207,1428043,864509
1208,1382230,1069996
1209,1323891,1334699
1210,1382231,713676
1211,1108109,1074771
1212,1390213,897078
1213,1411579,1141103
1214,800457,40730
1215,1586883,28412
1216,1128361,1174820
1217,1507277,1051871
1218,936402,885259
1219,1525769,1059376
1220,1185198,225211
1221,1643930,1598693
1222,200406,1033660
1223,1644825,1668589
1224,1028215,1419806
1225,1665300,1612841
1226,1309108,1396440
1227,934648,1538990
1228,1261734,912603
1229,1610114,1514991
1230,1061164,1527102
1231,103096,1172136
1232,19612,1169769
1233,1650204,1044777
1234,21535,825410
1235,1610532,758743
1236,1101680,874015
1237,1296205,766404
1238,1083220,1441693
1239,1661181,110027
1240,76321,783005
1241,1285543,1361540
1242,920760,1009626
1243,800240,1607749
1244,884650,1403853
1245,1264587,352736
1246,1640878,919721
1247,1619312,1606757
1248,805928,732717
1249,1535079,1601548
1250,1353499,1036478
1251,1487052,945384
1252,1596961,1620908
1253,1322505,316736
1254,1477294,1176373
1255,1324736,1619346
1256,1010552,1428336
1257,1602658,1644440
1258,1539638,1641832
1259,1552221,1274494
1260,1370754,867840
1261,1479094,1443089
1262,1522690,1539894
1263,1635718,64472
1264,1528356,205402
1265,1310383,1043156
1266,40570,1326583
1267,66740,1637459
1268,811830,869004
1269,1411643,1490161
1270,1082324,1392363
1271,1580836,1001902
1272,1275158,1581720
1273,1049521,1388195
1274,1426850,1438423
1275,1061937,1517389
1276,822416,1122897
1277,1575659,1169445
1278,1005284,1512890
1279,1541354,1396446
1280,4977,809933
1281,1463913,1415020
1282,1599891,1532595
1283,1283582,1633933
1284,1162556,1019650
1285,1237746,1560046
1286,1566443,1290200
1287,822370,1517389
1288,1604119,1239188
1289,729580,1653384
1290,755001,1449447
1291,70858,25191
1292,1128725,803164
1293,1513403,1613809
1294,1653629,1044378
1295,1398805,1389170
1296,1136174,22872
1297,1419600,783324
1298,20639,1029199
1299,1459287,310142
1300,1124524,1340652
1301,1528396,1556811
1302,746838,1610931
1303,1485074,919956
1304,108385,1355677
1305,1649345,73124
1306,1469822,1308027
1307,1629037,1403676
1308,1261159,764811
1309,1082526,722830
1310,1614826,1326141
1311,1387637,850261
1312,719220,1163302
1313,1489902,825410
1314,1401564,765207
1315,1605674,1533998
1316,351998,1413909
1317,1306830,1068237
1318,1080657,1403161
1319,1554970,753772
1320,1556416,736012
1321,64803,709878
1322,1428205,1051627
1323,1544227,318833
1324,1164727,1496671
1325,1278021,1674227
1326,816284,1472787
1327,1630924,753568
1328,1588216,910467
1329,722313,352049
1330,1407200,1321741
1331,886128,43196
1332,1305168,1506374
1333,1635881,1297704
1334,1582962,1643848
1335,1655153,1020416
1336,778164,1652044
1337,1471781,1467761
1338,1557796,1428205
1339,796764,731802
1340,1056087,1449792
1341,1517302,941713
1342,880807,1520697
1343,1067063,1393818
1344,1099574,1681309
1345,1609065,1540684
1346,895419,1005284
1347,911421,943184
1348,812906,1383154
1349,1307954,1604416
1350,1168325,1538267
1351,1159154,1046257
1352,1379661,64996
1353,1616495,1455819
1354,1537917,1379245
1355,1651992,1439404
1356,353184,823094
1357,1587523,1201663
1358,731766,865084
1359,1356576,1540047
1360,47288,919805
1361,1499361,1589845
1362,1576804,867773
1363,1448056,934796
1364,724910,1093557
1365,884269,1640455
1366,1579541,1537667
1367,1568669,1261249
1368,1401914,1097396
1369,1022321,1459287
1370,1005731,1510333
1371,203077,1361113
1372,913341,1657853
1373,1296205,1009976
1374,40987,1390478
1375,82166,81018
1376,1090009,1361538
1377,1012271,1580891
1378,74925,874841
1379,1083220,1548240
1380,1559865,754811
1381,1562528,1014111
1382,1424929,1557644
1383,1084048,60667
1384,1647509,1275014
1385,1518339,1052054
1386,1304421,943117
1387,929887,1087277
1388,1059378,784011
1389,48465,738214
1390,1602409,1412232
1391,14693,350852
1392,874238,1532079
1393,1595552,1457435
1394,1085280,895095
1395,1163612,72331
1396,1514991,1507934
1397,1371451,773910
1398,1588238,1573600
1399,1688126,947484
1400,1649616,726958
1401,1027443,923282
1402,57183,1626556
1403,1307954,1529113
1404,1610148,1474903
1405,1405528,1163609
1406,1385508,1407704
1407,887730,1445146
1408,1607679,1083383
1409,913165,701985
1410,1310114,102729
1411,1598893,1576709
1412,777676,916704
1413,879181,873591
1414,1271834,1230276
1415,1492426,1386858
1416,1490630,47129
1417,1488139,7332
1418,1449488,1006028
1419,1379006,1041859
1420,1566897,1415020
1421,1348259,1112372
1422,907254,68589
1423,874499,1672754
1424,1329842,1629205
1425,1307752,17485
1426,317540,1524223
1427,1551693,1311370
1428,1459200,1649744
1429,352736,67887
1430,1310630,1575975
1431,1566140,1353611
1432,1374690,1567517
1433,1574097,1407190
1434,920112,1603671
1435,1413837,719955
1436,722313,1504008
1437,931336,931336
1438,1633651,831489
1439,890066,1286043
1440,1028918,1370637
1441,1287808,1047340
1442,1610834,1515115
1443,732026,350846
1444,1673255,1557421
