cik,company,sic,state_of_inc,state_location,year,,
12779,BLUE RIDGE REAL ESTATE CO,7990,PA,PA,2002,,
12927,BOEING CO,3721,DE,WA,2002,,
12978,OFFICEMAX INC,5110,DE,IL,2004,,
13033,Comjoyful International Co,6770,NV,AZ,2013,,
13055,LEFT BEHIND GAMES INC.,7372,WA,HI,2009,,
13156,"Galaxy Gaming, Inc.",6500,,NV,2009,,
13239,HEXION INC.,2821,NJ,OH,2014,,
13372,NSTAR ELECTRIC CO,4911,MA,MA,2006,,
13390,BOSTON GAS CO,4922,MA,MA,2002,,
13547,ENTRX CORP,1700,DE,MN,2002,,
13573,BOWL AMERICA INC,7900,MD,VA,2002,,
13606,WHITE ELECTRONIC DESIGNS CORP,3674,ID,AZ,2002,,
13610,BOWNE & CO INC,2750,DE,NY,2002,,
14073,BRESLER & REINER INC,6513,DE,MD,2002,,
14177,BRIDGFORD FOODS CORP,2013,CA,CA,2002,,
14195,BRIGGS & STRATTON CORP,3510,WI,WI,2002,,
14272,BRISTOL MYERS SQUIBB CO,2834,DE,NY,2002,,
14280,"MSGI SECURITY SOLUTIONS, INC",7389,NV,NY,2005,,
14637,"BNS HOLDING, INC.",6500,,CA,2004,,
14693,BROWN FORMAN CORP,2080,DE,KY,2002,,
14707,CALERES INC,3140,NY,MO,2016,,
14803,BROWN TOM INC /DE,1311,DE,CO,2002,,
14846,BRT Apartments Corp.,6798,NY,NY,2017,,
14930,BRUNSWICK CORP,3510,DE,IL,2002,,
14995,DIXON TICONDEROGA CO,3950,DE,FL,2002,,
15288,"BULLION MONARCH MINING, INC.",6795,,UT,2009,,
15310,BULOVA CORP,5094,NY,NY,2002,,
15357,CHASE GENERAL CORP,2060,MO,MO,2002,,
15393,BUREAU OF NATIONAL AFFAIRS INC,2711,DE,VA,2002,,
15486,BURKE MILLS INC,2200,NC,NC,2002,,
15511,BNSF RAILWAY CO,4011,DE,TX,2004,,
15615,MASTEC INC,1623,FL,FL,2002,,
15840,BUTLER MANUFACTURING CO,3448,DE,MO,2002,,
15847,BUTLER NATIONAL CORP,3721,DE,KS,2002,,
16040,CABOT CORP,2890,DE,MA,2002,,
16058,CACI INTERNATIONAL INC /DE/,7373,DE,VA,2002,,
16099,LUBYS INC,5812,DE,TX,2002,,
16104,CAGLES INC,2015,GA,GA,2002,,
16160,CAL-MAINE FOODS INC,200,DE,MS,2014,,
16317,CALIFORNIA ENGELS MINING CO,800,CA,CA,2002,,
16496,CALPROP CORP,1531,CA,CA,2002,,
16614,CAMCO FINANCIAL CORP,6036,DE,OH,2002,,
16732,CAMPBELL SOUP CO,2000,NJ,NJ,2002,,
16804,CANADA SOUTHERN PETROLEUM LTD,1311,CT,A0,2003,,
16873,NEXEN INC,1311,A0,A0,2002,,
16875,CANADIAN PACIFIC RAILWAY LTD/CN,4011,,A0,2015,,
16918,"CONSTELLATION BRANDS, INC.",2080,DE,NY,2004,,
17313,CAPITAL SOUTHWEST CORP,,TX,TX,2002,,
17485,"LIBERATOR MEDICAL HOLDINGS, INC.",5912,NV,FL,2009,,
17797,"DUKE ENERGY PROGRESS, LLC.",4911,NC,NC,2015,,
17843,CARPENTER TECHNOLOGY CORP,3312,DE,PA,2002,,
17927,CARROLS CORP,5812,DE,NY,2002,,
18061,CASCADE CORP,3537,OR,OR,2002,,
18072,CASCADE NATURAL GAS CORP,4924,WA,WA,2002,,
18169,DOLE FOOD CO INC,100,DE,CA,2006,,
18172,A. M. Castle & Co.,5051,MD,IL,2019,,
18230,CATERPILLAR INC,3531,DE,IL,2002,,
18255,CATO CORP,5621,DE,NC,2002,,
18349,SYNOVUS FINANCIAL CORP,6021,GA,GA,2002,,
18396,CDI CORP,7363,PA,PA,2002,,
18498,GENESCO INC,5661,TN,TN,2004,,
18530,SECURECARE TECHNOLOGIES INC,7374,NV,TX,2008,,
18532,CENTEX CORP,1531,NV,2Q,2002,,
18568,COMPASS BANCSHARES INC,6021,DE,AL,2002,,
18605,CENTRAL NATURAL RESOURCES INC,6792,DE,MO,2002,,
18647,CENTRAL HUDSON GAS & ELECTRIC CORP,4931,NY,NY,2002,,
18651,CENTRAL ILLINOIS LIGHT CO,4931,IL,IL,2002,,
18654,Ameren Illinois Co,4931,IL,IL,2010,,
18672,CLECO POWER LLC,4911,LA,LA,2002,,
18675,CENTRAL MAINE POWER CO,4911,ME,ME,2002,,
18734,AEP TEXAS CENTRAL CO,4911,TX,OH,2002,,
18808,CENTRAL VERMONT PUBLIC SERVICE CORP,4911,VT,VT,2002,,
18886,WOLVERINE HOLDING CORP.,1400,,GA,2011,,
18926,"Lumen Technologies, Inc.",4813,LA,LA,2020,,
18937,CERADYNE INC,3990,DE,CA,2002,,
19002,"Cybrdi, Inc.",3695,CA,MD,2005,,
19149,CHAMPION INDUSTRIES INC,2750,WV,WV,2002,,
19161,CHAMPION PARTS INC,3714,IL,AR,2002,,
19252,CHAPARRAL RESOURCES INC,1311,DE,NY,2002,,
19353,CHARMING SHOPPES INC,5621,PA,PA,2002,,
19411,MAGELLAN HEALTH INC,8060,DE,AZ,2014,,
19446,CANTEL MEDICAL CORP,3841,DE,NJ,2002,,
19520,CHATTEM INC,2834,TN,TN,2002,,
19584,ROTO-ROOTER INC,7600,DE,OH,2003,,
19612,TCF FINANCIAL CORP,6021,MI,MI,2019,,
19617,JPMORGAN CHASE & CO,6021,DE,NY,2011,,
19722,VERIZON MARYLAND INC,4813,MD,MD,2002,,
19725,VERIZON VIRGINIA INC,4813,VA,VA,2002,,
19731,CHESAPEAKE CORP /VA/,2650,VA,VA,2002,,
19745,CHESAPEAKE UTILITIES CORP,4923,DE,DE,2002,,
19871,CHICAGO RIVET & MACHINE CO,3540,IL,IL,2002,,
19913,CHIEF CONSOLIDATED MINING CO,6795,AZ,UT,2008,,
20171,CHUBB CORP,6331,NJ,NJ,2002,,
20212,CHURCHILL DOWNS INC,7948,KY,KY,2002,,
20232,ChyronHego Corp,3861,NY,NY,2013,,
20286,CINCINNATI FINANCIAL CORP,6331,DE,OH,2002,,
20290,"Duke Energy Ohio, Inc.",4931,OH,NC,2006,,
20520,FRONTIER COMMUNICATIONS CORP,4813,DE,CT,2008,,
20629,CSS INDUSTRIES INC,2771,DE,PA,2002,,
20639,AMBASE CORP,6282,DE,CT,2002,,
20740,CLARCOR INC.,3714,DE,TN,2011,,
20762,PREMCOR REFINING GROUP INC,2911,DE,CT,2002,,
20947,CLEVELAND ELECTRIC ILLUMINATING CO,4911,OH,OH,2002,,
21076,CLOROX CO /DE/,2842,DE,CA,2002,,
21175,CNA FINANCIAL CORP,6331,DE,IL,2002,,
21212,COACHMEN INDUSTRIES INC,3716,IN,IN,2002,,
21239,COASTAL CARIBBEAN OILS & MINERALS LTD,1311,D0,D0,2002,,
21267,EL PASO CGP CO,4922,DE,TX,2002,,
21344,COCA COLA CO,2080,DE,GA,2002,,
21438,"THINKENGINE NETWORKS, INC.",3661,,MA,2006,,
21510,COHERENT INC,3826,DE,CA,2002,,
21535,COHU INC,3825,DE,CA,2002,,
21665,COLGATE PALMOLIVE CO,2844,DE,NY,2002,,
21759,COLLINS INDUSTRIES INC,3711,MO,KS,2002,,
21828,"CCOM Group, Inc.",5070,NY,NJ,2012,,
22099,COLUMBIA ENERGY GROUP,4923,DE,VA,2002,,
22198,COLUMBUS SOUTHERN POWER CO /OH/,4911,OH,OH,2002,,
22252,COMARCO INC,8711,CA,CA,2002,,
22301,COMCAST HOLDINGS CORP,4841,PA,PA,2002,,
22356,COMMERCE BANCSHARES INC /MO/,6022,MO,MO,2002,,
22444,COMMERCIAL METALS CO,5051,DE,TX,2002,,
22551,TRI VALLEY CORP,1311,DE,CA,2002,,
22606,COMMONWEALTH EDISON CO,4911,IL,IL,2002,,
22701,COMMUNICATIONS SYSTEMS INC,3661,MN,MN,2002,,
22767,TEXAS NEW MEXICO POWER CO,4911,TX,TX,2002,,
22872,"Advanzeon Solutions, Inc.",6324,DE,FL,2014,,
22912,COMPUDYNE CORP,3812,NV,MD,2002,,
23019,COMPUTER HORIZONS CORP,7373,NY,NJ,2002,,
23055,GROUP 1 SOFTWARE INC,7372,DE,MD,2002,,
23071,ARTESYN TECHNOLOGIES INC,3679,FL,FL,2002,,
23082,COMPUTER SCIENCES CORP,7373,NV,VA,2002,,
23111,COMPUTER TASK GROUP INC,7371,NY,NY,2002,,
23194,COMSTOCK RESOURCES INC,1311,NV,TX,2002,,
23197,COMTECH TELECOMMUNICATIONS CORP /DE/,3663,DE,NY,2002,,
23217,CONAGRA BRANDS INC.,2000,DE,IL,2017,,
23259,CT COMMUNICATIONS INC /NC,4813,NC,NC,2002,,
23304,CONE MILLS CORP,2211,NC,NC,2002,,
23341,CONGOLEUM CORP,3089,DE,NJ,2002,,
23426,CONNECTICUT LIGHT & POWER CO,4911,CT,CT,2002,,
23503,CONOLOG CORP,3679,DE,NJ,2008,,
23632,CONSOLIDATED EDISON CO OF NEW YORK INC,4931,NY,NY,2002,,
23666,Hillshire Brands Co,2000,MD,IL,2012,,
23675,Con-way Inc.,4213,DE,MI,2006,,
23738,CONSOLIDATED NATURAL GAS CO/VA,4923,DE,VA,2002,,
23795,"CTO Realty Growth, Inc.",6798,MD,FL,2020,,
24008,CONTINENTAL CONVEYOR & EQUIPMENT CO,3490,DE,AL,2002,,
24071,CONTINENTAL INFORMATION SYSTEMS CORP,5045,NY,NY,2002,,
24090,"CITIZENS, INC.",6311,CO,TX,2019,,
24104,CONTINENTAL MATERIALS CORP,3270,DE,IL,2002,,
24491,COOPER TIRE & RUBBER CO,3011,DE,OH,2002,,
24545,MOLSON COORS BEVERAGE CO,2082,DE,CO,2019,,
24741,CORNING INC /NY,3661,NY,NY,2002,,
24751,CORNING NATURAL GAS CORP,4923,NY,NY,2006,,
25095,TRUE VALUE CO,5070,DE,IL,2004,,
25118,COTTON STATES LIFE INSURANCE CO /,6311,GA,GA,2002,,
25191,COUNTRYWIDE FINANCIAL CORP,6162,DE,CA,2002,,
25212,COURIER CORP,2732,MA,MA,2002,,
25232,COUSINS PROPERTIES INC,6798,GA,GA,2002,,
25305,COX COMMUNICATIONS INC /DE/,4841,DE,GA,2002,,
25354,CPI CORP,7200,DE,MO,2002,,
25445,CRANE CO /DE/,3490,DE,CT,2002,,
25475,CRAWFORD & CO,6411,GA,GA,2002,,
25598,ONEMAIN FINANCE CORP,6141,IN,IN,2020,,
25600,SPRINGLEAF FINANCE INC,6141,IN,IN,2010,,
25657,CRESTED CORP,6512,CO,WY,2002,,
25743,"TherapeuticsMD, Inc.",2834,UT,FL,2011,,
25793,CROSS A T CO,3950,RI,RI,2002,,
25895,CROWN CRAFTS INC,2211,GA,LA,2002,,
26058,CTS CORP,3670,IN,IL,2002,,
26076,CUBIC CORP /DE/,3829,DE,CA,2002,,
26172,CUMMINS INC,3510,IN,IN,2002,,
26285,BIRDS EYE FOODS INC,2030,DE,NY,2003,,
26324,CURTISS WRIGHT CORP,3590,DE,NC,2002,,
26537,"ARGON ST, Inc.",3829,DE,VA,2004,,
26780,DANA INC,3714,DE,OH,2016,,
26820,PHOENIX FOOTWEAR GROUP INC,3140,MA,CA,2002,,
26987,SMTEK INTERNATIONAL INC,3672,DE,CA,2002,,
27093,U.S. GOLD CORP.,3572,NV,NV,2017,,
27096,DATASCOPE CORP,3845,DE,NJ,2002,,
27099,DATATAB INC,7374,NY,NY,2002,,
27367,DAXOR CORP,8090,NY,NY,2002,,
27419,TARGET CORP,5331,MN,MN,2002,,
27425,AMCAST INDUSTRIAL CORP,3490,OH,OH,2002,,
27430,DAYTON POWER & LIGHT CO,4931,OH,OH,2002,,
27500,DEAN HOLDING CO,2020,DE,TX,2002,,
27613,DECORATOR INDUSTRIES INC,2390,PA,FL,2002,,
27673,DEERE JOHN CAPITAL CORP,6153,DE,NV,2002,,
27748,DGT Holdings Corp.,3679,NY,NY,2011,,
27751,DEL LABORATORIES INC,2844,DE,NY,2002,,
27879,DELMARVA POWER & LIGHT CO /DE/,4931,DE,DE,2002,,
27904,"DELTA AIR LINES, INC.",4512,DE,GA,2019,,
27960,QSGI INC.,7389,DE,FL,2007,,
27984,DELTONA CORP,6552,DE,FL,2002,,
27996,DELUXE CORP,2780,MN,MN,2002,,
28146,HYDRON TECHNOLOGIES INC,2844,NY,FL,2002,,
28325,GRISTEDES FOODS INC,5411,DE,NY,2002,,
28367,"Cogo Group, Inc.",3670,MD,F4,2008,,
28372,DETREX CORPORATION,2800,MI,MI,2002,,
28385,DTE Electric Co,4911,MI,MI,2012,,
28412,COMERICA INC /NEW/,6021,DE,TX,2002,,
28452,DEVCON INTERNATIONAL CORP,3270,FL,FL,2002,,
28561,DEWEY ELECTRONICS CORP,3480,NY,NJ,2002,,
28626,LIFECORE BIOMEDICAL INC,2836,MN,MN,2002,,
28630,DRS TECHNOLOGIES INC,3812,DE,NJ,2002,,
28823,"DIEBOLD NIXDORF, Inc",3578,OH,OH,2016,,
28866,VERITAS DGC INC,1382,DE,TX,2002,,
28871,DI GIORGIO CORP,5141,DE,NJ,2002,,
28917,"DILLARD'S, INC.",5311,AR,AR,2017,,
29002,DIODES INC /DEL/,3674,DE,TX,2002,,
29006,DIONICS INC,3674,DE,NY,2008,,
29071,DISCOVERY OIL LTD,1311,DE,CA,2008,,
29233,"GPS INDUSTRIES, INC.",3669,NV,A6,2008,,
29332,DIXIE GROUP INC,2273,TN,GA,2002,,
29504,OMEGA COMMERCIAL FINANCE CORP,6153,WY,FL,2012,,
29534,DOLLAR GENERAL CORP,5331,TN,TN,2003,,
29644,DONALDSON CO INC,3564,DE,MN,2002,,
29646,CREDIT SUISSE (USA) INC,6200,DE,NY,2005,,
29669,RR Donnelley & Sons Co,2750,DE,IL,2006,,
29693,DONNKENNY INC,2330,DE,NY,2002,,
29806,CONSTAR INTERNATIONAL INC,3080,DE,PA,2002,,
29834,Escalera Resources Co.,1311,MD,CO,2014,,
29905,DOVER CORP,3530,DE,IL,2002,,
29915,DOW CHEMICAL CO /DE/,2800,DE,MI,2002,,
29924,DOW JONES & CO INC,2711,DE,NY,2002,,
29952,"CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD.",1000,DE,F4,2010,,
29989,OMNICOM GROUP INC.,7311,NY,NY,2013,,
30140,LASERCARD CORP,3572,DE,CA,2005,,
30197,DRIVER HARRIS CO,3350,NJ,NJ,2002,,
30302,ALCO STORES INC,5331,KS,TX,2013,,
30305,DUCOMMUN INC /DE/,3728,DE,CA,2002,,
30371,"Duke Energy Carolinas, LLC",4911,NC,NC,2006,,
30419,DEX ONE Corp,7310,DE,NC,2009,,
30554,DUPONT E I DE NEMOURS & CO,2820,DE,DE,2002,,
30573,DUQUESNE LIGHT CO,4911,PA,PA,2002,,
30625,FLOWSERVE CORP,3561,NY,TX,2002,,
30697,Wendy's Co,5810,DE,OH,2012,,
30822,DYNAMICS RESEARCH CORP,7373,MA,VA,2002,,
30828,COBRA ELECTRONICS CORP,3663,DE,IL,2002,,
30831,DYNASIL CORP OF AMERICA,3220,NJ,MA,2009,,
30841,ACTERNA CORP,3825,DE,MA,2002,,
30908,EAGLE FOOD CENTERS INC,5411,DE,IL,2002,,
30927,EAGLE PICHER INC,3714,OH,AZ,2003,,
31107,EASTERN CO,3420,CT,CT,2002,,
31235,EASTMAN KODAK CO,3861,NJ,NY,2002,,
31277,EATON CORP,3714,OH,OH,2002,,
31347,ECHELON CORP,3576,DE,CA,2002,,
31462,ECOLAB INC.,2840,DE,MN,2015,,
31617,EDO CORP,3812,NY,NY,2002,,
31660,ECC INTERNATIONAL CORP,3690,DE,FL,2002,,
31667,EDUCATIONAL DEVELOPMENT CORP,5190,DE,OK,2002,,
31704,TWENTY SERVICES INC,6141,AL,AL,2008,,
31791,PERKINELMER INC,3826,MA,MA,2002,,
31978,EL PASO ELECTRIC CO /TX/,4911,TX,TX,2002,,
31986,EL PASO NATURAL GAS CO,4922,DE,TX,2002,,
32017,ELKCORP,2950,DE,TX,2002,,
32020,ELDER BEERMAN STORES CORP,5311,OH,PA,2002,,
32166,ELECTRO RENT CORP,7359,CA,CA,2002,,
32198,EMS TECHNOLOGIES INC,3663,GA,GA,2002,,
32258,TITAN CORP,7373,DE,CA,2002,,
32272,THREE FIVE SYSTEMS INC,3674,DE,AZ,2002,,
32346,ELGIN NATIONAL INDUSTRIES INC,3560,DE,IL,2002,,
32567,METWOOD INC,3440,NV,FL,2008,,
32604,EMERSON ELECTRIC CO,3600,MO,MO,2002,,
32621,EMERSON RADIO CORP,3651,DE,NJ,2002,,
32689,EMPIRE DISTRICT ELECTRIC CO,4911,KS,MO,2002,,
32776,EMPIRE STATE BUILDING ASSOCIATES L.L.C.,6512,NY,NY,2006,,
32870,QUIXOTE CORP,3089,DE,IL,2002,,
32878,ENERGY CONVERSION DEVICES INC,3690,DE,MI,2002,,
32880,ENERGY CORP OF AMERICA,1311,WV,CO,2002,,
33002,"ENNIS, INC.",2761,TX,TX,2005,,
33015,TXU GAS CO,4923,TX,TX,2002,,
33073,VISKASE COMPANIES INC,3089,DE,IL,2002,,
33113,ENVIRONMENTAL TECTONICS CORP,3690,PA,PA,2002,,
33185,EQUIFAX INC,7320,GA,GA,2002,,
33213,EQT Corp,4923,PA,PA,2008,,
33325,EQUITY OIL CO,1311,CO,UT,2002,,
33416,ERIE FAMILY LIFE INSURANCE CO,6311,PA,PA,2002,,
33488,ESCALADE INC,3949,IN,IN,2002,,
33533,ESPEY MFG & ELECTRONICS CORP,3679,NY,NY,2003,,
33619,ESTERLINE TECHNOLOGIES CORP,3823,DE,WA,2002,,
33656,ETHYL CORP,2860,VA,VA,2002,,
33769,BOB EVANS FARMS INC,5812,DE,OH,2012,,
